Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
explorer.exe	1.40	54,708 K	163,992 K	4148	Windows Explorer	Microsoft Corporation
 MSASCuiL.exe		1,824 K	9,244 K	5704	Windows Defender notification icon	Microsoft Corporation
 OneDrive.exe	< 0.01	28,404 K	64,672 K	5732	Microsoft OneDrive	Microsoft Corporation
 Wireshark.exe	0.22	123,352 K	161,420 K	5584	Wireshark	The Wireshark developer community, http://www.wireshark.org/
  dumpcap.exe	0.02	3,172 K	10,000 K	4744	Dumpcap	The Wireshark developer community
   conhost.exe		5,576 K	10,540 K	6488	Console Window Host	Microsoft Corporation
 chrome.exe	0.06	45,652 K	136,796 K	1008	Google Chrome	Google Inc.
  chrome.exe		1,964 K	8,500 K	1488	Google Chrome	Google Inc.
  chrome.exe		1,884 K	9,344 K	3928	Google Chrome	Google Inc.
  chrome.exe	0.02	13,312 K	21,492 K	972	Google Chrome	Google Inc.
  chrome.exe		43,848 K	77,308 K	2716	Google Chrome	Google Inc.
  chrome.exe	0.01	13,320 K	21,656 K	4920	Google Chrome	Google Inc.
 procexp.exe		2,928 K	10,276 K	2116	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
  procexp64.exe	12.56	19,284 K	54,404 K	2172	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com

